cum_n_games,season,competition,round,date,team,venue,opponent,result,goals,cum_goals,minutes_played
1,2018,Copa Chile,Semi-Finals,2020-01-18,Univ Católica,Away,Colo-Colo,D,0,0,90
2,2020,Primera División,Matchweek 1,2020-01-26,Univ Católica,Away,Wanderers,W,1,1,90
3,2020,Primera División,Matchweek 2,2020-02-02,Univ Católica,Home,O'Higgins,W,0,1,90
4,2020,Primera División,Matchweek 3,2020-02-09,Univ Católica,Away,Antofagasta,W,2,3,90
5,2020,Primera División,Matchweek 4,2020-02-16,Univ Católica,Away,Colo-Colo,W,0,3,90
6,2020,Primera División,Matchweek 5,2020-02-21,Univ Católica,Home,Iquique,W,1,4,90
7,2020,Primera División,Matchweek 6,2020-02-28,Univ Católica,Away,La Calera,D,1,5,90
8,2020,Libertadores,Group stage,2020-03-03,Univ Católica,Away,Internacional,L,0,5,90
9,2020,Libertadores,Group stage,2020-03-10,Univ Católica,Home,D América,L,0,5,90
10,2020,Primera División,Matchweek 8,2020-03-14,Univ Católica,Away,Cobresal,W,0,5,90
11,2020,Primera División,Matchweek 7,2020-08-29,Univ Católica,Home,Unión Española,L,0,5,81
12,2020,Primera División,Matchweek 9,2020-09-05,Univ Católica,Home,Coquimbo Unido,W,0,5,77
13,2020,Primera División,Matchweek 10,2020-09-09,Univ Católica,Away,Huachipato,W,1,6,88
14,2020,Primera División,Matchweek 11,2020-09-13,Univ Católica,Home,Audax Italiano,W,0,6,72
15,2020,Libertadores,Group stage,2020-09-16,Univ Católica,Home,Grêmio,W,1,7,82
16,2020,Libertadores,Group stage,2020-09-23,Univ Católica,Away,D América,D,1,8,90
17,2020,Primera División,Matchweek 12,2020-09-26,Univ Católica,Away,Everton,D,1,9,45
18,2020,Libertadores,Group stage,2020-09-29,Univ Católica,Away,Grêmio,L,0,9,90
19,2020,Primera División,Matchweek 13,2020-10-04,Univ Católica,Home,U de Chile,W,1,10,90
20,2020,Primera División,Matchweek 14,2020-10-10,Univ Católica,Home,U Concepción,D,0,10,90
21,2020,Libertadores,Group stage,2020-10-22,Univ Católica,Home,Internacional,W,2,12,90
22,2020,Sudamericana,Second stage,2020-10-29,Univ Católica,Away,Sol de América,D,0,12,90
23,2020,Primera División,Matchweek 17,2020-11-01,Univ Católica,Home,La Serena,W,0,12,61
24,2020,Sudamericana,Second stage,2020-11-05,Univ Católica,Home,Sol de América,W,1,13,90
25,2020,Primera División,Matchweek 16,2020-11-08,Univ Católica,Away,Palestino,W,1,14,90
26,2020,Primera División,Matchweek 15,2020-11-11,Univ Católica,Away,Curico Unido,L,2,16,90
27,2020,Primera División,Matchweek 18,2020-11-15,Univ Católica,Home,Cobresal,W,2,18,90
